Temp dt vW method ef wd lg_ef t season4 h_sin h_cos t_sin t_cos dW_sin dW_cos
8.5 09MAR2017:13:00:00 2.62106804 4 0.292993309 S -1.227605506 3085 2 -0.25881904510252035 -0.9659258262890684 0.8073707443023492 -0.5900444739548627 -0.09320476606148774 -0.9956469613188318
8.16666667 09MAR2017:14:00:00 3.06814447 4 0.315333751 S -1.154123674 3086 2 -0.4999999999999997 -0.8660254037844388 0.8073707443023492 -0.5900444739548627 0.22842600875044158 -0.9735612762052234
8.08333333 09MAR2017:15:00:00 3.21934382 4 0.202518416 S -1.5969244530000002 3087 2 -0.7071067811865471 -0.7071067811865479 0.8073707443023492 -0.5900444739548627 0.2939390821327668 -0.955824155373229
7.66666667 09MAR2017:16:00:00 2.29512044 4 0.203763086 S -1.5907973030000002 3088 2 -0.8660254037844384 -0.5000000000000004 0.8073707443023492 -0.5900444739548627 0.3950619695644694 -0.9186544726957151
8.25 09MAR2017:17:00:00 1.14584574 4 0.231353179 E -1.463809823 3089 2 -0.9659258262890681 -0.2588190451025215 0.8073707443023492 -0.5900444739548627 0.5257240538299545 -0.8506551705741869
8.91666667 09MAR2017:18:00:00 1.61554385 4 0.21219826600000002 E -1.550234224 3090 2 -1.0 -1.8369701987210297e-16 0.8073707443023492 -0.5900444739548627 0.7203965857088998 -0.6935623687160081
8.25 09MAR2017:19:00:00 1.63798853 4 0.299902237 S -1.204298734 3091 2 -0.9659258262890684 0.2588190451025203 0.8073707443023492 -0.5900444739548627 -0.3916604022751711 -0.9201098463170857
7.66666667 09MAR2017:20:00:00 0.95474801 4 0.100325814 W -2.299332249 3092 2 -0.866025403784439 0.49999999999999933 0.8073707443023492 -0.5900444739548627 -0.9289380116569814 -0.37023529072574085
7.91666667 09MAR2017:21:00:00 1.06985806 4 0.240730682 W -1.4240764719999999 3093 2 -0.7071067811865477 0.7071067811865474 0.8073707443023492 -0.5900444739548627 -0.8241820879797561 0.5663248942553466
7.83333333 09MAR2017:22:00:00 1.84646066 4 0.33509177100000004 N -1.093350841 3094 2 -0.5000000000000004 0.8660254037844384 0.8073707443023492 -0.5900444739548627 -0.38033656785918646 0.9248481470755588
7.08333333 09MAR2017:23:00:00 2.38584991 4 0.278457062 N -1.278491407 3095 2 -0.25881904510252157 0.9659258262890681 0.8073707443023492 -0.5900444739548627 -0.2865194693796883 0.9580744196910707
6.08333333 10MAR2017:00:00:00 3.18318543 4 0.273695725 N -1.295738282 3096 2 0.0 1.0 0.7971015927871943 -0.6038452208771035 -0.4306098188164386 0.9025381897398436
6.66666667 10MAR2017:01:00:00 3.15658045 4 0.205841618 W -1.580648251 3097 2 0.25881904510252074 0.9659258262890683 0.7971015927871943 -0.6038452208771035 -0.5646049668589349 0.8253612732605166
7.25 10MAR2017:02:00:00 3.28523081 4 0.21339646399999998 W -1.54460351 3098 2 0.49999999999999994 0.8660254037844387 0.7971015927871943 -0.6038452208771035 -0.5829574939321671 0.8125026524684873
7.25 10MAR2017:03:00:00 3.52922905 4 0.248333104 W -1.3929842730000002 3099 2 0.7071067811865475 0.7071067811865476 0.7971015927871943 -0.6038452208771035 -0.6045651793616541 0.7965556753318697
7.16666667 10MAR2017:04:00:00 3.29733086 4 0.242630595 W -1.416215177 3100 2 0.8660254037844386 0.5000000000000001 0.7971015927871943 -0.6038452208771035 -0.748933284450713 0.6626454070178615
7.08333333 10MAR2017:05:00:00 2.82791941 4 0.27337221 W -1.296921006 3101 2 0.9659258262890682 0.25881904510252096 0.7971015927871943 -0.6038452208771035 -0.7516508422869633 0.6595612263386157
7.33333333 10MAR2017:06:00:00 3.10768705 4 0.277960516 W -1.280276204 3102 2 1.0 6.123233995736766e-17 0.7971015927871943 -0.6038452208771035 -0.790758028923142 0.6121288587328549
7.0 10MAR2017:07:00:00 3.19149286 4 0.309971838 W -1.171273831 3103 2 0.9659258262890683 -0.25881904510252063 0.7971015927871943 -0.6038452208771035 -0.7939221688704807 0.608019399177355
6.91666667 10MAR2017:08:00:00 4.24654164 4 0.347712255 W -1.056379995 3104 2 0.8660254037844387 -0.4999999999999998 0.7971015927871943 -0.6038452208771035 -0.7598637856028327 0.6500823235016717
7.08333333 10MAR2017:09:00:00 4.15928374 4 0.673349187 W -0.395491232 3105 2 0.7071067811865476 -0.7071067811865475 0.7971015927871943 -0.6038452208771035 -0.7572786330861326 0.653091932174329
8.08333333 10MAR2017:10:00:00 4.52231222 4 0.438932716 W -0.8234091440000001 3106 2 0.5000000000000003 -0.8660254037844385 0.7971015927871943 -0.6038452208771035 -0.7362224888748242 0.6767395709391903
8.5 10MAR2017:11:00:00 4.76220666 4 0.344087744 W -1.066858584 3107 2 0.258819045102521 -0.9659258262890682 0.7971015927871943 -0.6038452208771035 -0.7397076994526087 0.6729283166656973
8.91666667 10MAR2017:12:00:00 4.62894943 4 0.427488572 W -0.849827723 3108 2 1.2246467991473532e-16 -1.0 0.7971015927871943 -0.6038452208771035 -0.6901452024683933 0.7236709193479177
9.08333333 10MAR2017:13:00:00 5.08533292 4 0.616033423 W -0.484454059 3109 2 -0.25881904510252035 -0.9659258262890684 0.7971015927871943 -0.6038452208771035 -0.6917877638243345 0.7221008861806825
9.33333333 10MAR2017:14:00:00 4.99039195 4 0.435370748 W -0.831557317 3110 2 -0.4999999999999997 -0.8660254037844388 0.7971015927871943 -0.6038452208771035 -0.6160174050336295 0.7877325413461306
9.91666667 10MAR2017:15:00:00 4.45847132 4 0.304704038 W -1.1884143409999999 3111 2 -0.7071067811865471 -0.7071067811865479 0.7971015927871943 -0.6038452208771035 -0.6021047994479407 0.7984170655000775
9.25 10MAR2017:16:00:00 3.02379371 4 0.46867438899999997 W -0.757847018 3112 2 -0.8660254037844384 -0.5000000000000004 0.7971015927871943 -0.6038452208771035 -0.6796612680255794 0.7335261145629797
8.58333333 10MAR2017:17:00:00 1.57631189 4 0.494680739 W -0.7038426959999999 3113 2 -0.9659258262890681 -0.2588190451025215 0.7971015927871943 -0.6038452208771035 -0.7221606738038467 0.6917253509964587
7.91666667 10MAR2017:18:00:00 0.930894645 4 0.525967975 W -0.6425149520000001 3114 2 -1.0 -1.8369701987210297e-16 0.7971015927871943 -0.6038452208771035 -0.9993192794984054 -0.03689143020794892
7.41666667 10MAR2017:19:00:00 1.50789097 4 0.597609927 W -0.514817034 3115 2 -0.9659258262890684 0.2588190451025203 0.7971015927871943 -0.6038452208771035 -0.9274582847234756 0.3739266373204623
7.58333333 10MAR2017:20:00:00 1.24716563 4 0.65991847 W -0.41563898200000005 3116 2 -0.866025403784439 0.49999999999999933 0.7971015927871943 -0.6038452208771035 -0.9706362239761233 0.24055211640177485
6.75 10MAR2017:21:00:00 1.72993069 4 0.6332465979999999 W -0.456895362 3117 2 -0.7071067811865477 0.7071067811865474 0.7971015927871943 -0.6038452208771035 -0.9256789134850449 0.3783101229535719
7.0 10MAR2017:22:00:00 2.25887563 4 0.63881115 W -0.448146408 3118 2 -0.5000000000000004 0.8660254037844384 0.7971015927871943 -0.6038452208771035 -0.8208982862225179 0.5710744291919688
7.33333333 10MAR2017:23:00:00 1.98128531 4 0.545246563 W -0.6065171770000001 3119 2 -0.25881904510252157 0.9659258262890681 0.7971015927871943 -0.6038452208771035 -0.7430818048220413 0.6692005912597639
6.66666667 11MAR2017:00:00:00 1.54499763 4 0.504551006 W -0.6840863420000001 3120 2 0.0 1.0 0.7865965660866019 -0.6174672802835517 -0.7878824481265481 0.6158256635884195
6.75 11MAR2017:01:00:00 1.45847537 4 0.58904044 W -0.529260439 3121 2 0.25881904510252074 0.9659258262890683 0.7865965660866019 -0.6174672802835517 -0.7650653253856219 0.643952675196394
7.0 11MAR2017:02:00:00 1.2386302 4 0.628340838 W -0.464672524 3122 2 0.49999999999999994 0.8660254037844387 0.7865965660866019 -0.6174672802835517 -0.8575368288519254 0.5144225764510959
7.33333333 11MAR2017:03:00:00 1.93124634 4 0.6099803189999999 W -0.494328586 3123 2 0.7071067811865475 0.7071067811865476 0.7865965660866019 -0.6174672802835517 -0.7038548225683743 0.7103438524737455
7.0 11MAR2017:04:00:00 2.11899996 4 0.695661416 W -0.362892208 3124 2 0.8660254037844386 0.5000000000000001 0.7865965660866019 -0.6174672802835517 -0.7596324363852023 0.650352644025902
6.75 11MAR2017:05:00:00 1.94409437 4 0.6125235929999999 W -0.490167818 3125 2 0.9659258262890682 0.25881904510252096 0.7865965660866019 -0.6174672802835517 -0.6075719021818918 0.794264681122784
6.91666667 11MAR2017:06:00:00 1.59580819 4 0.6151039629999999 W -0.48596398 3126 2 1.0 6.123233995736766e-17 0.7865965660866019 -0.6174672802835517 -0.7594835053950416 0.6505265598212419
6.66666667 11MAR2017:07:00:00 1.70589255 4 0.584988795 W -0.536162586 3127 2 0.9659258262890683 -0.25881904510252063 0.7865965660866019 -0.6174672802835517 -0.6144323444688777 0.7889695140311053
6.25 11MAR2017:08:00:00 1.86465965 4 0.648606448 N -0.432929144 3128 2 0.8660254037844387 -0.4999999999999998 0.7865965660866019 -0.6174672802835517 -0.4022137049630858 0.9155458129115484
6.41666667 11MAR2017:09:00:00 0.7566781029999999 4 0.538203749 N -0.619518075 3129 2 0.7071067811865476 -0.7071067811865475 0.7865965660866019 -0.6174672802835517 -0.40990924750844143 0.9121263118708194
7.5 11MAR2017:10:00:00 0.693928511 4 0.68396262 W -0.379852012 3130 2 0.5000000000000003 -0.8660254037844385 0.7865965660866019 -0.6174672802835517 -0.5917311312803175 0.8061353907835306
8.83333333 11MAR2017:11:00:00 0.34422784700000003 4 0.740892937 E -0.299899149 3131 2 0.258819045102521 -0.9659258262890682 0.7865965660866019 -0.6174672802835517 0.8040485361645041 -0.5945636647926933
8.5 11MAR2017:12:00:00 0.8770947859999999 4 1.08014895 E 0.0770989483 3132 2 1.2246467991473532e-16 -1.0 0.7865965660866019 -0.6174672802835517 0.6429123432427121 -0.7659397619305093
9.41666667 11MAR2017:13:00:00 0.8187668370000001 4 1.43790866 E 0.3631897385 3133 2 -0.25881904510252035 -0.9659258262890684 0.7865965660866019 -0.6174672802835517 0.8396723049907197 -0.54309338076575
9.41666667 11MAR2017:14:00:00 1.74143277 4 1.68809425 E 0.5236002299 3134 2 -0.4999999999999997 -0.8660254037844388 0.7865965660866019 -0.6174672802835517 0.8034652893130594 -0.5953516010468787
