Temp	date	dt	vW	dW	method	ef	aer	wd	lg_aer	lg_ef	season1	season2	season3	h	t	season4
-3.08333333	14FEB2017	14FEB2017:08:00:00	1.63203454	120.662144	4	0.718192931	1069.9580462	E	6.9753747175	-0.33101704	W	W	W	8	2528	3
-3	06JAN2017	06JAN2017:18:00:00	0.846489703	162.59407	1	1.411034	654.00131615	S	6.4831093639	0.344322769	W	W	W	18	1602	3
-3	06JAN2017	06JAN2017:18:00:00	0.846489703	162.59407	4	1.22833478	652.72574923	S	6.4811570552	0.2056594147	W	W	W	18	1602	3
-3	07JAN2017	07JAN2017:09:00:00	3.84517576	179.310423	1	1.24805787	1577.6273923	S	7.363677347	0.2215886391	W	W	W	9	1617	3
-3	07JAN2017	07JAN2017:09:00:00	3.84517576	179.310423	4	0.992235472	1623.1483769	S	7.3921229847	-0.007794829	W	W	W	9	1617	3
-3	10FEB2017	10FEB2017:02:00:00	0.441467726	98.7246793	1	0.81341102	491.75028077	E	6.1979710282	-0.206518738	W	W	W	2	2426	3
-3	10FEB2017	10FEB2017:02:00:00	0.441467726	98.7246793	4	0.762226525	648.89082154	E	6.4752644769	-0.271511491	W	W	W	2	2426	3
-3	10FEB2017	10FEB2017:08:00:00	2.97423506	113.198043	1	1.24339401	751.69789385	E	6.6223345063	0.2178447454	W	W	W	8	2432	3
-3	10FEB2017	10FEB2017:08:00:00	2.97423506	113.198043	4	0.961468814	1028.3814846	E	6.9357414712	-0.039293149	W	W	W	8	2432	3
-2.91666667	06JAN2017	06JAN2017:05:00:00	0.547486987	300.908234	1	0.90941307	526.88077308	W	6.2669742859	-0.094955866	W	W	W	5	1589	3
-2.91666667	06JAN2017	06JAN2017:05:00:00	0.547486987	300.908234	4	0.692475331	525.20066846	W	6.2637804152	-0.367482665	W	W	W	5	1589	3
-2.91666667	07JAN2017	07JAN2017:05:00:00	3.7610297	170.894361	1	0.70830421	895.3432	S	6.7972071085	-0.344881602	W	W	W	5	1613	3
-2.91666667	07JAN2017	07JAN2017:05:00:00	3.7610297	170.894361	4	0.624996564	931.11484615	S	6.8363826275	-0.470009127	W	W	W	5	1613	3
